,Filename,Eint_H2O,original_SMILES,CanonSMILES,Class_label,tail_atom_ids_r1,tail_atom_ids_r2
406,C-C-_O-O-ON_CN,-0.348159,C(C(=O)O)ON=CN,NC=NOCC(=O)O,1,"(5, 6)","(4, 7)"
407,C-C-_O-O-ONN,-0.361554,C(C(=O)O)ONN,NNOCC(=O)O,1,"(4, 5)","(3, 6)"
408,C-C-_O-O-OON,-0.359732,C(C(=O)O)OON,NOOCC(=O)O,1,"(4, 5)","(3, 6)"
409,CNC1_CC_C-C_C1-CCCN,-0.068494,CNC1=CC=C(C=C1)CCCN,CNc1ccc(CCCN)cc1,1,"(0, 1)","(2, 3, 4, 5, 10, 11)"
410,CNC1_CC_C-C_C1-C_CCN,-0.038074,CNC1=CC=C(C=C1)C=CCN,CNc1ccc(C=CCN)cc1,1,"(0, 1)","(2, 3, 4, 5, 10, 11)"
411,CNC1_CC_C-C_C1-CCN,-0.046034,CNC1=CC=C(C=C1)CCN,CNc1ccc(CCN)cc1,1,"(0, 1)","(2, 3, 4, 5, 9, 10)"
412,CNC1_CC_C-C_C1-CN,-0.074634,CNC1=CC=C(C=C1)CN,CNc1ccc(CN)cc1,1,"(0, 1)","(2, 3, 4, 5, 8, 9)"
413,CNC1_CC_C-C_C1-CN_CN,-0.107214,CNC1=CC=C(C=C1)CN=CN,CNc1ccc(CN=CN)cc1,1,"(0, 1)","(2, 3, 4, 5, 10, 11)"
414,CNC1_CC_C-C_C1-CNN,-0.086354,CNC1=CC=C(C=C1)CNN,CNc1ccc(CNN)cc1,1,"(0, 1)","(2, 3, 4, 5, 9, 10)"
415,CNC1_CC_C-C_C1-COCN,-0.026714,CNC1=CC=C(C=C1)COCN,CNc1ccc(COCN)cc1,1,"(0, 1)","(2, 3, 4, 5, 10, 11)"
416,CNC1_CC_C-C_C1-CON,-0.071204,CNC1=CC=C(C=C1)CON,CNc1ccc(CON)cc1,1,"(0, 1)","(2, 3, 4, 5, 9, 10)"
417,CNC1_CC_C-C_C1-N_CN_CN,-0.094554,CNC1=CC=C(C=C1)N=CN=CN,CNc1ccc(N=CN=CN)cc1,1,"(0, 1)","(2, 3, 4, 5, 11, 12)"
418,CNC1_CC_C-C_C1-NN,-0.018934,CNC1=CC=C(C=C1)NN,CNc1ccc(NN)cc1,1,"(0, 1)","(2, 3, 4, 5, 8, 9)"
419,CNC1_CC_C-C_C1-N_NN,-0.075614,CNC1=CC=C(C=C1)N=NN,CNc1ccc(N=NN)cc1,1,"(0, 1)","(2, 3, 4, 5, 9, 10)"
420,CNC1_CC_C-C_C1-OCCN,-0.063934,CNC1=CC=C(C=C1)OCCN,CNc1ccc(OCCN)cc1,1,"(0, 1)","(2, 3, 4, 5, 10, 11)"
421,CNC1_CC_C-C_C1-ON,-0.027624,CNC1=CC=C(C=C1)ON,CNc1ccc(ON)cc1,1,"(0, 1)","(2, 3, 4, 5, 8, 9)"
422,CNCC1_CC_C-C_C1-CN,-0.040754,CNCC1=CC=C(C=C1)CN,CNCc1ccc(CN)cc1,1,"(0, 1)","(2,)"
423,CNCC1_CC_C-C_C1-N,-0.046014,CNCC1=CC=C(C=C1)N,CNCc1ccc(N)cc1,1,"(0, 1)","(2,)"
424,CNCC1_CC_C-C_C1-NN,-0.048584,CNCC1=CC=C(C=C1)NN,CNCc1ccc(NN)cc1,1,"(0, 1)","(2,)"
425,CNCC1_CC_C-C_C1-OCN,-0.039964,CNCC1=CC=C(C=C1)OCN,CNCc1ccc(OCN)cc1,1,"(0, 1)","(2,)"
426,CNCC1_CC_C-C_C1-ON,-0.027024,CNCC1=CC=C(C=C1)ON,CNCc1ccc(ON)cc1,1,"(0, 1)","(2,)"
427,CNC_CC1_CC_C-C_C1-N,-0.041864,CNC=CC1=CC=C(C=C1)N,CNC=Cc1ccc(N)cc1,1,"(0, 1)","(2,)"
428,CNCCC1_CC_C-C_C1-N,-0.039474,CNCCC1=CC=C(C=C1)N,CNCCc1ccc(N)cc1,1,"(0, 1)","(2,)"
429,CNCC_CC1_CC_C-C_C1-N,-0.062904,CNCC=CC1=CC=C(C=C1)N,CNCC=Cc1ccc(N)cc1,1,"(0, 1)","(2,)"
430,CNCCCC1_CC_C-C_C1-N,-0.048894,CNCCCC1=CC=C(C=C1)N,CNCCCc1ccc(N)cc1,1,"(0, 1)","(2,)"
